locatie,month,hours_count,monthly_total_m3,monthly_mean_m3_per_h,monthly_median_m3_per_h,monthly_std_m3_per_h,expected_hours,percent_coverage,year
KGM00357_COMBINED,2012-10-31,31,247412.88,7981.06064516129,8316.0,3355.161802134074,744,4.166666666666666,2012
KGM00357_COMBINED,2012-11-30,30,257044.61,8568.153666666667,9504.0,3216.451954345072,720,4.166666666666666,2012
KGM00357_COMBINED,2012-12-31,31,305325.94,9849.223870967742,8316.0,2537.245297541775,744,4.166666666666666,2012
KGM00357_COMBINED,2013-01-31,31,256240.73,8265.83,8316.0,3725.349504744488,744,4.166666666666666,2013
KGM00357_COMBINED,2013-02-28,28,249480.0,8910.0,9504.0,2772.0,672,4.166666666666666,2013
KGM00357_COMBINED,2013-03-31,31,266112.0,8584.258064516129,8316.0,3924.71375574272,744,4.166666666666666,2013
KGM00357_COMBINED,2013-04-30,30,238461.3,7948.71,8316.0,3842.018475278237,720,4.166666666666666,2013
KGM00357_COMBINED,2013-05-31,31,245259.61,7911.600322580644,8316.0,3651.0042070645754,744,4.166666666666666,2013
KGM00357_COMBINED,2013-06-30,30,271033.59,9034.453000000001,9504.0,2355.998758993804,720,4.166666666666666,2013
KGM00357_COMBINED,2013-07-31,31,242764.85,7831.124193548388,8316.0,3789.0594688055717,744,4.166666666666666,2013
KGM00357_COMBINED,2013-08-31,31,260172.0,8392.645161290322,8316.0,3469.4954248746035,744,4.166666666666666,2013
KGM00357_COMBINED,2013-09-30,30,247547.56,8251.585333333333,8316.0,4019.3445919150527,720,4.166666666666666,2013
KGM00357_COMBINED,2013-10-31,31,336973.25,10870.104838709678,10692.0,5106.814272057072,744,4.166666666666666,2013
KGM00357_COMBINED,2013-11-30,30,317196.0,10573.2,10692.0,3950.635133572916,720,4.166666666666666,2013
KGM00357_COMBINED,2013-12-31,31,297855.36,9608.237419354838,10692.0,1193.5260380094148,744,4.166666666666666,2013
KGM00357_COMBINED,2014-01-31,31,289872.0,9350.709677419354,10692.0,3213.343245422628,744,4.166666666666666,2014
KGM00357_COMBINED,2014-02-28,28,241444.84,8623.03,10692.0,3250.1309077840747,672,4.166666666666666,2014
KGM00357_COMBINED,2014-03-31,31,264304.58,8525.954193548389,8316.0,3162.2809330616346,744,4.166666666666666,2014
KGM00357_COMBINED,2014-04-30,30,249480.0,8316.0,8316.0,3502.0126626920082,720,4.166666666666666,2014
KGM00357_COMBINED,2014-05-31,31,268931.2,8675.2,8316.0,3009.019124876632,744,4.166666666666666,2014
KGM00357_COMBINED,2014-06-30,30,223756.85,7458.5616666666665,8316.0,3977.662695510486,720,4.166666666666666,2014
KGM00357_COMBINED,2014-07-31,31,276812.24,8929.427096774194,10692.0,4390.283310990452,744,4.166666666666666,2014
KGM00357_COMBINED,2014-08-31,31,251918.39,8126.399677419356,8316.0,3587.777873141428,744,4.166666666666666,2014
KGM00357_COMBINED,2014-09-30,30,244728.0,8157.6,8316.0,3442.20868949995,720,4.166666666666666,2014
